Date time,Latitude,Longitude,Magnitude,Depth (km),Location,Agency,Cluster
2022-11-29 10:06:17.913891+00:00,0.1195954904,124.1319656,3.119886955,77,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-11-29 10:15:14.685217+00:00,0.08853165805,123.8558807,3.016443863,109,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-11-30 19:23:01.359255+00:00,0.3693928421,123.0272827,3.706889029,84,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-12-01 01:34:52.296650+00:00,0.1654931158,123.6488724,3.170675101,108,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-12-05 19:50:14.993579+00:00,2.835604668,125.3816528,3.2110008,28,"Talaud Islands, Indonesia",BMKG,3
2022-12-05 23:54:34.106020+00:00,0.9781745076,125.4517059,3.48902403,41,Northern Molucca Sea,BMKG,3
2022-12-06 00:00:33.479048+00:00,0.7446072698,125.987915,3.273619447,13,Northern Molucca Sea,BMKG,3
2022-12-06 03:56:16.798997+00:00,0.6008524895,125.10112,2.847181306,20,Northern Molucca Sea,BMKG,3
2022-12-06 08:01:32.202279+00:00,0.00927690044,123.2089767,4.63971385,132,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-12-07 12:30:31.978619+00:00,0.7282380462,125.5743179,4.377808168,10,Northern Molucca Sea,BMKG,1
2022-12-08 10:45:03.217381+00:00,1.703390837,124.0433197,3.07682021,27,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-12-08 14:51:12.965585+00:00,0.3155085742,123.9582596,4.436899147,194,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-12-09 06:14:30.238450+00:00,0.4514793754,125.0205536,3.820450864,20,Northern Molucca Sea,BMKG,3
2022-12-09 16:06:19.695037+00:00,0.8874715567,125.5197296,3.346480522,25,Northern Molucca Sea,BMKG,3
2022-12-10 00:55:30.650592+00:00,1.104811311,125.8986511,3.542389007,14,Northern Molucca Sea,BMKG,3
2022-12-10 16:11:19.269528+00:00,0.08196119964,125.077713,2.99215044,10,Northern Molucca Sea,BMKG,3
2022-12-12 16:57:52.146425+00:00,0.3644016981,123.7699509,4.336653362,198,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-12-15 17:29:10.496355+00:00,0.2113756984,123.837204,2.580365475,202,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-12-15 17:54:28.465229+00:00,0.2465917319,125.0094376,3.597648671,10,Northern Molucca Sea,BMKG,3
2022-12-19 02:45:57.434164+00:00,0.6970826387,125.5371399,3.097484311,10,Northern Molucca Sea,BMKG,3
2022-12-19 12:36:22.466930+00:00,0.3087648749,125.4994965,3.394324045,10,Northern Molucca Sea,BMKG,3
2022-12-22 06:40:28.462965+00:00,0.7961373925,125.3831253,3.135668561,23,Northern Molucca Sea,BMKG,3
2022-12-30 11:29:20.274930+00:00,0.8977338672,124.4886551,3.8212204,214,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-12-30 13:29:26.580762+00:00,0.2336162031,124.5712814,3.515793554,74,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-12-31 09:03:56.877665+00:00,1.558138013,124.3623276,4.104424099,230,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-12-31 16:36:29.775727+00:00,1.046986461,123.3450317,3.479302986,21,"Minahassa Peninsula, Sulawesi",BMKG,3
